Page 1 qr-numeric: payload=01234567; QR version=1; ECC=L; corrected=0; mask=3; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[4]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 2 qr-alphanumeric: payload=FOLIO 31; QR version=1; ECC=L; corrected=0; mask=7; exact functions/BCH/remainder=pass; ECI=3; modes=[2]; padding=pass; Form=PdfIndirectReference[ObjectReference[10]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 3 qr-byte: payload=folio-31; QR version=1; ECC=L; corrected=0; mask=7; exact functions/BCH/remainder=pass; ECI=3; modes=[4]; padding=pass; Form=PdfIndirectReference[ObjectReference[16]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 4 qr-kanji: payload=\u6f22\u5b57; QR version=1; ECC=L; corrected=0; mask=7; exact functions/BCH/remainder=pass; ECI=20; modes=[8]; padding=pass; Form=PdfIndirectReference[ObjectReference[22]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 5 qr-ecc-L: payload=FOLIO 31; QR version=1; ECC=L; corrected=0; mask=7; exact functions/BCH/remainder=pass; ECI=3; modes=[2]; padding=pass; Form=PdfIndirectReference[ObjectReference[10]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 6 qr-ecc-M: payload=FOLIO 31; QR version=1; ECC=M; corrected=0; mask=3; exact functions/BCH/remainder=pass; ECI=3; modes=[2]; padding=pass; Form=PdfIndirectReference[ObjectReference[32]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 7 qr-ecc-Q: payload=FOLIO 31; QR version=1; ECC=Q; corrected=0; mask=2; exact functions/BCH/remainder=pass; ECI=3; modes=[2]; padding=pass; Form=PdfIndirectReference[ObjectReference[38]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 8 qr-ecc-H: payload=FOLIO 31; QR version=1; ECC=H; corrected=0; mask=5; exact functions/BCH/remainder=pass; ECI=3; modes=[2]; padding=pass; Form=PdfIndirectReference[ObjectReference[44]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 9 qr-version-1: payload=31; QR version=1; ECC=L; corrected=0; mask=0; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[50]]; box=0,0,29.0,29.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 10 qr-version-2: payload=31; QR version=2; ECC=L; corrected=0; mask=4; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[56]]; box=0,0,33.0,33.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 11 qr-version-3: payload=31; QR version=3; ECC=L; corrected=0; mask=4; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[62]]; box=0,0,37.0,37.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 12 qr-version-4: payload=31; QR version=4; ECC=L; corrected=0; mask=1; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[68]]; box=0,0,41.0,41.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 13 qr-version-5: payload=31; QR version=5; ECC=L; corrected=0; mask=1; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[74]]; box=0,0,45.0,45.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 14 qr-version-6: payload=31; QR version=6; ECC=L; corrected=0; mask=4; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[80]]; box=0,0,49.0,49.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 15 qr-version-7: payload=31; QR version=7; ECC=L; corrected=0; mask=2; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[86]]; box=0,0,53.0,53.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 16 qr-version-8: payload=31; QR version=8; ECC=L; corrected=0; mask=2; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[92]]; box=0,0,57.0,57.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 17 qr-version-9: payload=31; QR version=9; ECC=L; corrected=0; mask=2; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[98]]; box=0,0,61.0,61.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 18 qr-version-10: payload=31; QR version=10; ECC=L; corrected=0; mask=2; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[104]]; box=0,0,65.0,65.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 19 qr-version-11: payload=31; QR version=11; ECC=L; corrected=0; mask=4; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[110]]; box=0,0,69.0,69.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 20 qr-version-12: payload=31; QR version=12; ECC=L; corrected=0; mask=4; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[116]]; box=0,0,73.0,73.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 21 qr-version-13: payload=31; QR version=13; ECC=L; corrected=0; mask=2; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[122]]; box=0,0,77.0,77.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 22 qr-version-14: payload=31; QR version=14; ECC=L; corrected=0; mask=2; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[128]]; box=0,0,81.0,81.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 23 qr-version-15: payload=31; QR version=15; ECC=L; corrected=0; mask=0; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[134]]; box=0,0,85.0,85.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
Page 24 qr-version-16: payload=31; QR version=16; ECC=L; corrected=0; mask=4; exact functions/BCH/remainder=pass; ECI=3; modes=[1]; padding=pass; Form=PdfIndirectReference[ObjectReference[140]]; box=0,0,89.0,89.0; module=1.0x1.0; quiet=4.0; placement=AffineTransform[[1.0, 0.0, 36.0], [0.0, 1.0, 144.0]]; vector geometry/color/reuse=pass
