qr-payload: expected rejection=QR payload mismatch; result=pass; PDF SHA-256=3f08aa74e69837ba4961382d341e607216aef969e13a6dd87877f260144a42e2
qr-data: expected rejection=QR damaged data/ECC; result=pass; PDF SHA-256=d2e720c70cfba0668914d7eec8c8d55205544c7887d943b7f2a0ab71f01b5c6e
qr-ecc: expected rejection=QR damaged data/ECC; result=pass; PDF SHA-256=94d95d640b27e1442f9717320c47304a7c643e5a11abe5473b33a6bbff32bca3
qr-finder: expected rejection=QR finder/separator; result=pass; PDF SHA-256=4dcd5772786665432d4db1bb0236b65c769e6bb6626ec1e5b8ade0b19477a0d5
qr-timing: expected rejection=QR timing; result=pass; PDF SHA-256=4d60aaa16799b67a70bb819f36650e97603dd4124bfcc90dcf31925aa8a8b2f0
qr-format: expected rejection=QR exact duplicated format BCH; result=pass; PDF SHA-256=bfa91a8dbb5e52bf5ea0a4ccf949da6991fcc0262630b9841a824df7262734e0
qr-quiet: expected rejection=Paint outside matrix/inside quiet zone; result=pass; PDF SHA-256=5bf4e98fe695d847a650f9585a9e89878e451eaa294828caffe252b1fb0bf5ff
qr-move: expected rejection=placement component; result=pass; PDF SHA-256=c5263eea00d7be3202e57e891c458637e35cd64fed7143655e6668ba8576bb50
qr-scale: expected rejection=placement component; result=pass; PDF SHA-256=a861b4d33edb5020e375ec4c2ff95fd6f52ea31ec8e95c0de320e2063f10b2b0
qr-rotation: expected rejection=placement component; result=pass; PDF SHA-256=348e630108dc67435ad0b12c83b7587d8ce316898ce8c3598c27eb7673db3391
qr-box: expected rejection=Form bounds; result=pass; PDF SHA-256=6da6ae83c53dbc969ec8e1105d6dbe8398eaff638919124dc723492638d8877a
dm-finder: expected rejection=DataMatrix top timing; result=pass; PDF SHA-256=08ccd3499cd0072b6f1c8fee5884021e90859667612d6d6a7026b062c6308043
dm-timing: expected rejection=DataMatrix top timing; result=pass; PDF SHA-256=111144157cd1b23c1709555fdc77e4dcc952fd4fd40117017ba6f5647395cbf3
dm-ecc: expected rejection=DataMatrix damaged data/ECC; result=pass; PDF SHA-256=0262f0160510bec16e28ac3ca35fa768495054f89d244485dd6327cf32122ad9
dm-padding: expected rejection=DataMatrix randomized padding; result=pass; PDF SHA-256=d8e355f5b1e70002f5013fc5b444eff1d89467bacdc0c4e5e08dc061d9933ed2
pdf-start: expected rejection=PDF417 start/stop; result=pass; PDF SHA-256=7bf598408379d7284478e083ebbc067b3df11c73619964401a27889fdafd3d71
pdf-cluster: expected rejection=PDF417 row cluster; result=pass; PDF SHA-256=99638cac649fb5e50d6ae6b25053297a7637942293184093dfdf013c8778e2ed
pdf-ecc: expected rejection=PDF417 damaged data/ECC; result=pass; PDF SHA-256=11b761f87fd5b9f3ddb6725f3d41c69dca97fe062afa0537ac1bdf865c4a23a1
pdf-indicator: expected rejection=PDF417 left row indicator; result=pass; PDF SHA-256=eb33ae84b9385151f52d0c42c38f6c0e208bceb9f466f1bdec1ef1dd89750f89
