profile	page	paragraph	line	run	run_start	run_hex	font	direction	gid	cluster_start	cluster_end	ax	ay	dx	dy	x	y	script	language
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	236	8	10	0	0	89	-76	25.068	150.780	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	770	8	10	484	0	0	0	24.000	151.692	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	292	5	8	0	0	260	256	32.928	154.764	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	705	5	8	599	0	0	0	29.808	151.692	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	292	2	5	0	0	249	74	39.984	152.580	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	1163	2	5	0	0	257	-126	40.080	150.180	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	1085	2	5	850	0	0	0	36.996	151.692	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	668	1	2	260	0	0	0	47.196	151.692	Arab	ar
arabic	1	0	1	1	0	062706440633064e06510644064e06270645064f	NotoSansArabic-Regular.ttf	rtl	46	0	1	238	0	0	0	50.316	151.692	Arab	ar
arabic	1	1	2	1	0	0644064e0627	NotoSansArabic-Regular.ttf	rtl	292	0	3	0	0	249	256	26.988	106.764	Arab	ar
arabic	1	1	2	1	0	0644064e0627	NotoSansArabic-Regular.ttf	rtl	704	0	3	582	0	0	0	24.000	103.692	Arab	ar
arabic	1	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	36	0	1	639	0	0	0	24.000	55.692	Latn	en
arabic	1	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	3	1	2	260	0	0	0	31.668	55.692	Latn	en
arabic	1	2	3	2	2	0644064e0627	NotoSansArabic-Regular.ttf	rtl	292	2	5	0	0	249	256	37.776	58.764	Arab	ar
arabic	1	2	3	2	2	0644064e0627	NotoSansArabic-Regular.ttf	rtl	704	2	5	582	0	0	0	34.788	55.692	Arab	ar
arabic	1	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	3	5	6	260	0	0	0	41.772	55.692	Latn	en
arabic	1	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	37	6	7	650	0	0	0	44.892	55.692	Latn	en
arabic	2	3	4	1	3	0020	NotoSans-Regular.ttf	rtl	3	3	4	260	0	0	0	24.000	151.692	Latn	en
arabic	2	3	4	2	0	0644064e0627	NotoSansArabic-Regular.ttf	rtl	292	0	3	0	0	249	256	30.108	154.764	Arab	ar
arabic	2	3	4	2	0	0644064e0627	NotoSansArabic-Regular.ttf	rtl	704	0	3	582	0	0	0	27.120	151.692	Arab	ar
arabic	2	3	5	1	4	0644064e0627	NotoSansArabic-Regular.ttf	rtl	292	4	7	0	0	249	256	26.988	106.764	Arab	ar
arabic	2	3	5	1	4	0644064e0627	NotoSansArabic-Regular.ttf	rtl	704	4	7	582	0	0	0	24.000	103.692	Arab	ar
arabic	2	4	6	1	0	06270020064e	NotoSansArabic-Regular.ttf	rtl	292	1	3	0	0	0	0	24.000	55.692	Arab	ar
arabic	2	4	6	1	0	06270020064e	NotoSansArabic-Regular.ttf	rtl	3	1	3	260	0	0	0	24.000	55.692	Arab	ar
arabic	2	4	6	1	0	06270020064e	NotoSansArabic-Regular.ttf	rtl	46	0	1	238	0	0	0	27.120	55.692	Arab	ar
hebrew	3	0	1	1	0	05e905b805c105dc05d505b905dd	NotoSansHebrew-Regular.ttf	rtl	23	6	7	684	0	0	0	24.000	158.160	Hebr	he
hebrew	3	0	1	1	0	05e905b805c105dc05d505b905dd	NotoSansHebrew-Regular.ttf	rtl	46	4	6	0	0	82	0	33.192	158.160	Hebr	he
hebrew	3	0	1	1	0	05e905b805c105dc05d505b905dd	NotoSansHebrew-Regular.ttf	rtl	124	4	6	291	0	-10	0	32.088	158.160	Hebr	he
hebrew	3	0	1	1	0	05e905b805c105dc05d505b905dd	NotoSansHebrew-Regular.ttf	rtl	55	3	4	522	0	0	0	35.700	158.160	Hebr	he
hebrew	3	0	1	1	0	05e905b805c105dc05d505b905dd	NotoSansHebrew-Regular.ttf	rtl	79	0	3	0	0	227	0	44.688	158.160	Hebr	he
hebrew	3	0	1	1	0	05e905b805c105dc05d505b905dd	NotoSansHebrew-Regular.ttf	rtl	100	0	3	0	0	539	0	48.432	158.160	Hebr	he
hebrew	3	0	1	1	0	05e905b805c105dc05d505b905dd	NotoSansHebrew-Regular.ttf	rtl	96	0	3	730	0	0	0	41.964	158.160	Hebr	he
hebrew	3	1	2	1	0	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	79	0	3	0	0	227	0	26.724	110.160	Hebr	he
hebrew	3	1	2	1	0	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	100	0	3	0	0	539	0	30.468	110.160	Hebr	he
hebrew	3	1	2	1	0	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	96	0	3	730	0	0	0	24.000	110.160	Hebr	he
hebrew	3	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	36	0	1	639	0	0	0	24.000	59.196	Latn	en
hebrew	3	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	3	1	2	260	0	0	0	31.668	59.196	Latn	en
hebrew	3	2	3	2	2	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	79	2	5	0	0	227	0	37.512	59.196	Hebr	he
hebrew	3	2	3	2	2	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	100	2	5	0	0	539	0	41.256	59.196	Hebr	he
hebrew	3	2	3	2	2	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	96	2	5	730	0	0	0	34.788	59.196	Hebr	he
hebrew	3	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	3	5	6	260	0	0	0	43.548	59.196	Latn	en
hebrew	3	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	37	6	7	650	0	0	0	46.668	59.196	Latn	en
hebrew	4	3	4	1	3	0020	NotoSans-Regular.ttf	rtl	3	3	4	260	0	0	0	24.000	155.196	Latn	en
hebrew	4	3	4	2	0	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	79	0	3	0	0	227	0	29.844	155.196	Hebr	he
hebrew	4	3	4	2	0	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	100	0	3	0	0	539	0	33.588	155.196	Hebr	he
