profile	index	line	unicode	font	gid	x	y	advance
latin	0	0	0041	NotoSans-Regular	36	72.000	707.196	7.668
latin	1	0	0020	NotoSans-Regular	3	79.668	707.196	3.120
latin	2	0	0301	NotoSans-Regular	2663	82.788	707.196	0.000
latin	3	1	0042	NotoSans-Regular	37	72.000	659.196	7.800
latin	4	2	0042	NotoSans-Regular	37	72.000	611.196	7.800
latin	5	3	0041	NotoSans-Regular	36	72.000	563.196	7.668
latin	6	3	002D	NotoSans-Regular	16	79.668	563.196	3.864
latin	7	4	0042	NotoSans-Regular	37	72.000	515.196	7.800
latin	8	4	0020	NotoSans-Regular	3	79.800	515.196	3.120
latin	9	5	0043	NotoSans-Regular	38	72.000	467.196	7.584
latin	10	6	0041	NotoSans-Regular	36	72.000	419.196	7.668
latin	11	6	0020	NotoSans-Regular	3	79.668	419.196	3.120
latin	12	6	0031	NotoSans-Regular	20	82.788	419.196	6.864
latin	13	6	0032	NotoSans-Regular	21	89.652	419.196	6.864
latin	14	6	0020	NotoSans-Regular	3	96.516	419.196	3.120
latin	15	6	05D1	NotoSansHebrew-Regular	12	99.636	419.196	6.864
latin	16	6	05D0	NotoSansHebrew-Regular	3	106.500	419.196	7.584
latin	17	6	002C	NotoSans-Regular	15	114.084	419.196	3.216
latin	18	6	0020	NotoSans-Regular	3	117.300	419.196	3.120
latin	19	6	0042	NotoSans-Regular	37	120.420	419.196	7.800
latin	20	7	0041	NotoSans-Regular	36	72.000	362.304	7.668
latin	21	7	0301	NotoSans-Regular	2663	79.668	362.304	0.000
latin	22	7	0020	NotoSans-Regular	3	79.668	362.304	3.120
latin	23	7	03A9	NotoSans-Regular	373	82.788	362.304	8.604
latin	24	7	0020	NotoSans-Regular	3	91.392	362.304	3.120
latin	25	7	042F	NotoSans-Regular	455	94.512	362.304	7.668
latin	26	7	0020	NotoSans-Regular	3	102.180	362.304	3.120
latin	27	7	9AA8	NotoSansCJKJP-Regular	45132	105.300	362.304	12.000
latin	28	8	0041	NotoSans-Regular	36	72.000	323.196	7.668
latin	29	8	0020	NotoSans-Regular	3	79.668	323.196	3.120
latin	30	8	0028	NotoSans-Regular	11	82.788	323.196	3.600
latin	31	8	0031	NotoSans-Regular	20	86.388	323.196	6.864
latin	32	8	0032	NotoSans-Regular	21	93.252	323.196	6.864
latin	33	8	0029	NotoSans-Regular	12	100.116	323.196	3.600
latin	34	8	0020	NotoSans-Regular	3	103.716	323.196	3.120
latin	35	8	05D1	NotoSansHebrew-Regular	12	106.836	323.196	6.864
latin	36	8	05D0	NotoSansHebrew-Regular	3	113.700	323.196	7.584
greek	0	0	0391	NotoSans-Regular	350	72.000	707.196	7.668
greek	1	0	03BB	NotoSans-Regular	391	79.668	707.196	6.228
greek	2	0	03C6	NotoSans-Regular	401	85.896	707.196	8.700
greek	3	0	03B1	NotoSans-Regular	381	94.596	707.196	7.476
greek	4	0	0020	NotoSans-Regular	3	102.072	707.196	3.120
greek	5	0	0392	NotoSans-Regular	351	105.192	707.196	7.800
greek	6	0	03AE	NotoSans-Regular	378	112.992	707.196	7.296
greek	7	0	03C4	NotoSans-Regular	399	120.288	707.196	5.880
greek	8	0	03B1	NotoSans-Regular	381	126.168	707.196	7.476
greek	9	0	002E	NotoSans-Regular	17	133.644	707.196	3.216
greek	10	1	0391	NotoSans-Regular	350	72.000	659.196	7.668
greek	11	1	0301	NotoSans-Regular	2663	79.668	659.196	0.000
greek	12	1	0020	NotoSans-Regular	3	79.668	659.196	3.120
greek	13	1	03A9	NotoSans-Regular	373	82.788	659.196	8.604
cyrillic	0	0	041F	NotoSans-Regular	439	72.000	707.196	8.772
cyrillic	1	0	0440	NotoSans-Regular	472	80.772	707.196	7.380
cyrillic	2	0	0438	NotoSans-Regular	464	88.152	707.196	7.716
cyrillic	3	0	0432	NotoSans-Regular	458	95.868	707.196	6.912
cyrillic	4	0	0435	NotoSans-Regular	461	102.780	707.196	6.768
cyrillic	5	0	0442	NotoSans-Regular	474	109.548	707.196	5.712
cyrillic	6	0	002C	NotoSans-Regular	15	115.260	707.196	3.216
cyrillic	7	0	0020	NotoSans-Regular	3	118.476	707.196	3.120
cyrillic	8	0	043C	NotoSans-Regular	468	121.596	707.196	8.952
cyrillic	9	0	0438	NotoSans-Regular	464	130.548	707.196	7.716
cyrillic	10	0	0440	NotoSans-Regular	472	138.264	707.196	7.380
